"BANKS, WILLIAM A","KABANOV, ALEXANDER V"
"NORMAND, SHARON-LISE TERESA","HORVITZ-LENNON, MARCELA V"
"SVIRIDOV, DMITRI","BUKRINSKY, MICHAEL ILYA"
"SVIRIDOV, DMITRI","FITZGERALD, MICHAEL LEO"
"BUKRINSKY, MICHAEL ILYA","FITZGERALD, MICHAEL LEO"
"HOEK, JOANNES B","VADIGEPALLI, RAJANIKANTH"
"YANKEELOV, THOMAS E","ABRAMSON, VANDANA"
"YANKEELOV, THOMAS E","ABRAMSON, VANDANA"
"KONJETI, SEKHAR RAJA","FREEMAN, MICHAEL L."
"TUREK, FRED W","KESHAVARZIAN, ALI"
"WILLIAMS, MARC S.","CAREY, DAVID J."
"SCHMIDT, BRIAN L","HARDT, MARKUS"
"DEL RIO, CARLOS","METSCH, LISA R"
"SESHADRI, SUDHA","WOLF, PHILIP A"
"LUTZ, THOMAS ALEXANDER","ASARIAN, LOREDANA"
"KOHANE, ISAAC S.","HARLEY, JOHN BARKER"
"STREIT, ANDREA","BRONNER, MARIANNE"
"NIZET, VICTOR","GHOSH, PARTHO"
"PHILLIPS, MARY LOUISE","AXELSON, DAVID A"
"PHILLIPS, MARY LOUISE","BIRMAHER, BORIS"
"AXELSON, DAVID A","BIRMAHER, BORIS"
"CHUTE, CHRISTOPHER G","KULLO, IFTIKHAR J"
"ROE, ANNA W.","FRIEDMAN, ROBERT MARK"
"LUMPKIN, ELLEN A","GERLING, GREGORY JOHN"
"SVIRSKY, MARIO A","NEUMAN, ARLENE C."
"SVIRSKY, MARIO A","NEUMAN, ARLENE C."
"ZHOU, XIAOBO","XIA, JAMES J"
"SMITH, MAUREEN E","CHISHOLM, REX L"
"FYER, ABBY J","SIMPSON, HELEN BLAIR"
"FYER, ABBY J","SCHNEIER, FRANKLIN R."
"SIMPSON, HELEN BLAIR","SCHNEIER, FRANKLIN R."
"JI, RU-RONG","SERHAN, CHARLES NICHOLAS"
"DEUTZ, NICOLAAS E","WOLFE, ROBERT R"
"WILLIAMS, MARC S.","CAREY, DAVID J."
"MIRANKER, ANDREW D.","RHOADES, ELIZABETH"
"MCCARTHY, MARK IAN","KOLLER, DAPHNE"
"MCCARTHY, MARK IAN","DERMITZAKIS, EMMANOUIL"
"MCCARTHY, MARK IAN","GUIGO, RODERIC"
"KOLLER, DAPHNE","DERMITZAKIS, EMMANOUIL"
"KOLLER, DAPHNE","GUIGO, RODERIC"
"DERMITZAKIS, EMMANOUIL","GUIGO, RODERIC"
"BURMEISTER, MARGIT","LI, JUN"
"TAKEUCHI, ESTHER S","MARSCHILOK, AMY CATHERINE"
"TAKEUCHI, ESTHER S","TAKEUCHI, KENNETH J"
"MARSCHILOK, AMY CATHERINE","TAKEUCHI, KENNETH J"
"KRAUSS, RONALD M","BERGERON, NATHALIE"
"LARABELL, CAROLYN A","LOMVARDAS, STAVROS"
"GILBERTSON, SCOTT R","CUNNINGHAM, KATHRYN A."
"SMITH, KIRK R","BATES, MICHAEL N"
"SMITH, KIRK R","BATES, MICHAEL N"
"DANUSER, GAUDENZ","SCHMID, SANDRA L."
"CARR, PHYLLIS","FREUND, KAREN"
"CARR, PHYLLIS","FREUND, KAREN"
"MASON, CHRISTOPHER EDWARD","ROSS, MARGARET ELIZABETH"
"WRIGHT, FRED A.","NOBEL, ANDREW B"
"WRIGHT, FRED A.","RUSYN, IVAN"
"NOBEL, ANDREW B","RUSYN, IVAN"
"TREIBER, FRANK A","BALIGA, PRABHAKAR K"
"RYAN, PATRICK H","SON, SANG YOUNG"
"BECKMAN, MARY E.","MUNSON, BENJAMIN R"
"BECKMAN, MARY E.","EDWARDS, JAN"
"MUNSON, BENJAMIN R","EDWARDS, JAN"
"RUSTGI, ANIL K","LYNCH, JOHN P."
"MONK, CATHERINE E","PETERSON, BRADLEY S"
"ZYLKA, MARK J.","PHILPOT, BENJAMIN D"
"WEISSMAN, MYRNA M","MCGRATH, PATRICK J"
"WEISSMAN, MYRNA M","PARSEY, RAMIN V."
"MCGRATH, PATRICK J","PARSEY, RAMIN V."
"WEISSMAN, MYRNA M","MCGRATH, PATRICK J"
"WEISSMAN, MYRNA M","PARSEY, RAMIN V."
"MCGRATH, PATRICK J","PARSEY, RAMIN V."
"SPUDICH, SERENA S","VALCOUR, VICTOR"
"RAVENELL, JOSEPH E","THOMPSON, HAYLEY S."
"MCCLAIN, CRAIG J.","BARVE, SHIRISH S"
"MCCLAIN, CRAIG J.","EATON, JOHN W"
"BARVE, SHIRISH S","EATON, JOHN W"
"COX, NANCY J","NICOLAE, DAN LIVIU"
"STELZNER, MATTHIAS G","DUNN, JAMES C"
"STELZNER, MATTHIAS G","MARTIN, MARTIN G"
"DUNN, JAMES C","MARTIN, MARTIN G"
"STELZNER, MATTHIAS G","DUNN, JAMES C"
"STELZNER, MATTHIAS G","MARTIN, MARTIN G"
"DUNN, JAMES C","MARTIN, MARTIN G"
"GREEN, JOHN T","HOZA, BETSY"
"MANSON, JOANN ELISABETH","BURING, JULIE E."
"LABAER, JOSHUA","ANDERSON, KAREN SUE"
"JARVIK, GAIL PAIRITZ","LARSON, ERIC B"
"PATO, CARLOS N","PATO, MICHELE T"
"GERSHENSON, ANNE","GIERASCH, LILA M"
"GERSHENSON, ANNE","HEBERT, DANIEL N."
"GIERASCH, LILA M","HEBERT, DANIEL N."
"TILLISCH, KIRSTEN","NALIBOFF, BRUCE D"
"LONGSTRETH, JAMES ALVAN","GORODETZKY, CHARLES W."
"REDMAN, LEANNE MAREE","MARTIN, CORBY K"
"YIANNOUTSOS, CONSTANTIN THEODORE","WOOLS-KALOUSTIAN, KARA KAY"
"LUBY, JOAN L.","BOTTERON, KELLY N"
"LUBY, JOAN L.","BARCH, DEANNA"
"BOTTERON, KELLY N","BARCH, DEANNA"
"ELISSEEFF, JENNIFER H","YAREMA, KEVIN J"
"PHILLIPS, MARY LOUISE","BIRMAHER, BORIS"
"LACHIN, JOHN M","NATHAN, DAVID M"
"PERRIN, ELIANA M.","YIN, HSIANG"
"PERRIN, ELIANA M.","SANDERS, LEE MICHAEL"
"PERRIN, ELIANA M.","PATINO-FERNANDEZ, ANNA MARIA"
"PERRIN, ELIANA M.","ROTHMAN, RUSSELL L."
"YIN, HSIANG","SANDERS, LEE MICHAEL"
"YIN, HSIANG","PATINO-FERNANDEZ, ANNA MARIA"
"YIN, HSIANG","ROTHMAN, RUSSELL L."
"SANDERS, LEE MICHAEL","PATINO-FERNANDEZ, ANNA MARIA"
"SANDERS, LEE MICHAEL","ROTHMAN, RUSSELL L."
"PATINO-FERNANDEZ, ANNA MARIA","ROTHMAN, RUSSELL L."
"BEEVERS, CHRISTOPHER G","MADDOX, W TODD TODD"
"CORBIN, JOSHUA G","HUNTSMAN, MOLLY-MAUREEN"
"SESHADRI, SUDHA","WOLF, PHILIP A"
"WOOD, TERESA L","MACKLIN, WENDY B"
"OGEDEGBE, OLUGBENGA G.","LANCASTER, KRISTIE J"
"GERMAN, DWIGHT C.","DEWEY, RICHARD B"
"MIMIAGA, MATTHEW JAMES","GAROFALO, ROBERT"
"TONONI, GIULIO","CIRELLI, CHIARA"
"PRINCE, DAVID ALLAN","HUGUENARD, JOHN R"
"GITLIN, LAURA N.","KALES, HELEN C"
"FEDER, ADRIANA","SOUTHWICK, STEVEN M M"
"FEDER, ADRIANA","PIETRZAK, ROBERT H"
"SOUTHWICK, STEVEN M M","PIETRZAK, ROBERT H"
"KESLER, SHELLI R","WEFEL, JEFFREY SCOTT"
"JICHA, GREGORY A","MOSER, DEBRA KAY"
"CARLIN, ROBERTA","MCDERMOTT, SUZANNE W"
"CARLIN, ROBERTA","TURK, MARGARET A."
"MCDERMOTT, SUZANNE W","TURK, MARGARET A."
"SUNDERRAM, JAG","AYAPPA, INDU A"
"LIEBSCHUTZ, JANE M","ROSE-JACOBS, RUTH"
"LIEBSCHUTZ, JANE M","FRANK, DEBORAH A"
"ROSE-JACOBS, RUTH","FRANK, DEBORAH A"
"PAN, YINGTIAN","DU, CONGWU"
"MUSTANSKI, BRIAN","GAROFALO, ROBERT"
"COHN, BARBARA A","TERRY, MARY BETH"
"MANKOWSKI, JOSEPH L","CLEMENTS, JANICE E"
"CHATILA, TALAL AMINE","WILLIAMS, CALVIN B"
"MCVOY, MICHAEL A","SCHLEISS, MARK R."
"MCVOY, MICHAEL A","GEBALLE, ADAM P."
"SCHLEISS, MARK R.","GEBALLE, ADAM P."
"BECKWITH, CURT G","KURTH, ANN ELIZABETH"
"BECKWITH, CURT G","KUO, IRENE"
"KURTH, ANN ELIZABETH","KUO, IRENE"
"STEIN, JAMES H","HSUE, PRISCILLA Y."
"MACTUTUS, CHARLES F.","BOOZE, ROSEMARIE M"
"BIRK, DAVID E","SOSLOWSKY, LOUIS J"
"LUCKHART, SHIRLEY","STEWART, V. ANN"
"GALLAGHER, DYMPNA","PI-SUNYER, XAVIER"
"KEENAN, HEATHER T.","EWING-COBBS, LINDA"
"HO, SHUK-MEI","PRINS, GAIL S"
"VIGNERON, DANIEL B","KURHANEWICZ, JOHN"
"RESNIC, FREDERIC S","NORMAND, SHARON-LISE TERESA"
"PAHL, KERSTIN","BROOK, JUDITH S"
"CHANG, CHUNG-CHE","ZHOU, XIAOBO"
"MILLER, MICHAEL I","ROSS, CHRISTOPHER A"
"KING, ABBY C","SALLIS, JAMES F."
"YAFFE, KRISTINE","STONE, KATIE L"
"MC NIVEN, MARK A.","CASEY, CAROL A."
"WOLF, PHILIP A","AU, RHODA"
"ABECASIS, GONCALO","GLASER, BENJAMIN"
"ABECASIS, GONCALO","CHO, YOON SHIN"
"ABECASIS, GONCALO","TAI, E SHYONG"
"ABECASIS, GONCALO","BOEHNKE, MICHAEL L"
"GLASER, BENJAMIN","CHO, YOON SHIN"
"GLASER, BENJAMIN","TAI, E SHYONG"
"GLASER, BENJAMIN","BOEHNKE, MICHAEL L"
"CHO, YOON SHIN","TAI, E SHYONG"
"CHO, YOON SHIN","BOEHNKE, MICHAEL L"
"TAI, E SHYONG","BOEHNKE, MICHAEL L"
"SVIRIDOV, DMITRI","BUKRINSKY, MICHAEL ILYA"
"SVIRIDOV, DMITRI","FITZGERALD, MICHAEL LEO"
"BUKRINSKY, MICHAEL ILYA","FITZGERALD, MICHAEL LEO"
"MCCARTHY, MARK IAN","BOEHNKE, MICHAEL L"
"MCCARTHY, MARK IAN","ALTSHULER, DAVID"
"BOEHNKE, MICHAEL L","ALTSHULER, DAVID"
"NICKELS, BRYCE EDWARD","DOVE, SIMON L"
"YIANNOUTSOS, CONSTANTIN THEODORE","WOOLS-KALOUSTIAN, KARA KAY"
"PERRIN, ELIANA M.","YIN, HSIANG"
